,date,open,high,low,close,volume,average,barCount,rsi,sma,smal,ema,bb_h,bb_l,bb_m,pos_rsi,pnl_rsi,capital,strategy,pos_bb,pnl_bb,cum_rsi,cum_bb
50,2018-05-11,272.16,273.15,271.58,272.85,391298,272.411,149986,56.23741431769962,265.57800000000003,270.4090000000002,266.81940782449396,272.5362966083684,261.305703391631,266.9209999999997,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
51,2018-05-14,273.34,274.08,272.36,272.98,396567,273.136,148490,57.48190624054699,265.93733333333336,270.4616000000002,267.4404166031136,273.51247718937236,260.96352281062707,267.2379999999997,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
52,2018-05-15,271.56,271.61,270.03,271.1,605649,270.7365,224024,54.99846402822561,266.36033333333336,270.49240000000026,267.83275787900754,273.84299999999655,260.855000000003,267.34899999999976,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
53,2018-05-16,271.11,272.76,271.1,272.24,357294,271.9695,142156,54.37332346142319,266.8396666666667,270.52100000000024,268.1448761762449,273.90963607549804,260.8303639245015,267.3699999999998,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
54,2018-05-17,271.94,273.23,271.13,272.01,429290,272.191,164246,55.358486267566114,267.05300000000005,270.56310000000025,268.50631654041206,274.25588826238425,260.71311173761524,267.48449999999974,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
55,2018-05-18,271.62,272.03,270.93,271.33,363485,271.543,148730,54.87761077180838,267.32633333333337,270.6034000000002,268.8028578222776,274.61369229541225,260.6363077045872,267.6249999999997,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
56,2018-05-21,272.97,273.98,272.6,273.37,382704,273.33,159851,56.55356729797838,267.7126666666667,270.6625000000002,269.1997285058702,275.2727645293385,260.548235470661,267.91049999999973,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
57,2018-05-22,273.96,274.25,272.24,272.61,393593,273.329,146672,57.76451657373349,268.03566666666666,270.7285000000002,269.65308769578735,276.0407859374646,260.4042140625349,268.22249999999974,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
58,2018-05-23,271.18,273.39,270.99,273.36,451197,272.0925,183288,53.367719054617126,268.2923333333334,270.7618000000002,269.7985079152362,276.15574042104896,261.1162595789505,268.63599999999974,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
59,2018-05-24,272.92,273.22,270.78,272.8,514521,272.315,213642,55.59457537786164,268.54766666666666,270.8055000000002,270.0957928756899,276.56564528637847,261.519354713621,269.04249999999973,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
60,2018-05-25,272.18,272.86,271.58,272.15,355152,272.2045,143704,54.43095751687675,268.7066666666667,270.8489000000002,270.29428879229084,276.8821976331135,261.71880236688594,269.3004999999997,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
61,2018-05-29,270.31,271.17,267.76,269.02,804370,269.13,332937,51.56031066763809,268.817,270.86250000000024,270.29578509778696,276.9867668223542,261.9212331776454,269.4539999999998,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
62,2018-05-30,270.53,273.11,270.42,272.61,522321,272.054,212101,51.87462586637058,268.8566666666667,270.85570000000024,270.3180912789501,276.8823428896208,262.68865711037876,269.7854999999998,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
63,2018-05-31,272.16,272.49,270.25,270.94,630688,271.294,272828,54.19276464587387,268.9056666666667,270.85230000000024,270.4935111571453,276.9300183592608,263.38098164073864,270.15549999999973,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
64,2018-06-01,272.4,273.94,272.33,273.6,477909,273.2585,202628,54.53220947392421,268.9973333333334,270.8432000000002,270.67508152313144,276.44226426854624,264.88273573145324,270.66249999999974,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
65,2018-06-04,274.52,275.19,274.26,274.9,340840,274.8025,143756,57.46311494963394,269.18766666666676,270.8444000000002,271.04126423521416,275.53559689535393,267.09340310464563,271.3144999999998,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
66,2018-06-05,275.04,275.53,274.18,275.1,360596,274.9945,147692,58.15948306959854,269.44700000000006,270.8579000000002,271.42209621281285,275.72566920221504,267.7173307977845,271.72149999999976,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
67,2018-06-06,275.81,277.52,275.09,277.4,426901,276.3735,187293,59.20057952454154,269.7166666666667,270.86850000000027,271.8399918115926,275.80044212627917,268.5735578737204,272.1869999999998,0.0,0.0,101231.75000000001,bb,-367.0,0.0,0.0,1231.7499999999995
68,2018-06-07,277.95,278.28,276.34,277.37,520013,277.291,225646,61.96899442303023,270.218,270.8838000000003,272.4218973533457,276.519146226082,268.8818537739176,272.7004999999998,0.0,0.0,100446.37000000002,bb,-367.0,-785.379999999995,0.0,446.37000000000455
69,2018-06-08,276.85,278.25,276.66,278.19,437145,277.5545,176878,59.77443195445233,270.62000000000006,270.85880000000026,272.8436214149318,277.0873048943753,268.9636951056243,273.0254999999998,0.0,-0.0,100850.07,bb,-367.0,403.6999999999875,0.0,850.069999999992
70,2018-06-11,278.44,279.37,278.31,278.56,364884,278.8685,157114,61.831098994437234,271.0006666666667,270.8628000000002,273.376609851605,278.01041200944434,268.6685879905552,273.33949999999976,0.0,0.0,100266.54000000002,bb,-367.0,-583.5299999999909,0.0,266.5400000000011
71,2018-06-12,279.03,279.33,278.19,278.92,460668,278.8415,159824,62.57843352229997,271.3936666666667,270.8581000000002,273.915027960976,278.91266864153647,268.335331358463,273.62399999999974,0.0,0.0,100050.01000000004,bb,-367.0,-216.52999999999082,0.0,50.01000000001028
